client_id,round_number,hierarchy,num_samples,set,accuracy,loss
ALLS_WELL_THAT_ENDS_WELL_MARIANA,0,,810,test,0.0,4.381857395172119
ALLS_WELL_THAT_ENDS_WELL_SECOND_LORD,0,,6747,test,0.0,4.382904052734375
AS_YOU_LIKE_IT_LE_BEAU,0,,1843,test,0.0,4.383179187774658
AS_YOU_LIKE_IT_ORLANDO,0,,12327,test,0.0,4.38310432434082
AS_YOU_LIKE_IT_PHEBE,0,,3348,test,0.0,4.38331937789917
AS_YOU_LIKE_IT_ROSALIND,0,,29302,test,0.1048951048951049,4.383610248565674
A_MIDSUMMER_NIGHT_S_DREAM_BOTTOM,0,,8626,test,0.0,4.383541107177734
A_MIDSUMMER_NIGHT_S_DREAM_DEMETRIUS,0,,5407,test,0.0,4.38369083404541
A_MIDSUMMER_NIGHT_S_DREAM_PHILOSTRATE,0,,836,test,0.0,4.3860392570495605
A_MIDSUMMER_NIGHT_S_DREAM_QUINCE,0,,3473,test,0.0,4.384078502655029
A_MIDSUMMER_NIGHT_S_DREAM_THISBY,0,,838,test,0.0,4.384280204772949
CYMBELINE_ARVIRAGUS,0,,4747,test,0.0,4.3838629722595215
CYMBELINE_CLOTEN,0,,10794,test,0.0,4.383019924163818
CYMBELINE_CYMBELINE,0,,10799,test,0.0,4.3835015296936035
CYMBELINE_FIRST_GENTLEMAN,0,,2571,test,0.0,4.383085250854492
CYMBELINE_FRENCHMAN,0,,830,test,0.0,4.379769802093506
CYMBELINE_IMOGEN,0,,23267,test,0.13297872340425532,4.383354663848877
CYMBELINE_LUCIUS,0,,3740,test,0.33003300330033003,4.3832011222839355
KING_HENRY_THE_EIGHTH_ANNE,0,,1835,test,0.0,4.383949279785156
KING_HENRY_THE_EIGHTH_KING,0,,19065,test,0.0,4.383152961730957
KING_HENRY_THE_EIGHTH_LOVELL,0,,2510,test,0.0,4.38351583480835
KING_HENRY_THE_EIGHTH_MAN,0,,1671,test,0.0,4.383917331695557
KING_HENRY_THE_EIGHTH_OLD_LADY,0,,2470,test,0.0,4.383033275604248
KING_HENRY_THE_EIGHTH_SANDYS,0,,1718,test,0.0,4.383848667144775
KING_HENRY_THE_EIGHTH_SUFFOLK,0,,3255,test,0.0,4.383190631866455
KING_HENRY_THE_EIGHTH_SURREY,0,,2702,test,0.0,4.3830671310424805
KING_HENRY_THE_EIGHTH_THIRD_GENTLEMAN,0,,2110,test,0.0,4.383085250854492
KING_JOHN_CONSTANCE,0,,11089,test,0.09633911368015415,4.383183479309082
KING_JOHN_MESSENGER,0,,960,test,0.0,4.381857395172119
KING_JOHN_SALISBURY,0,,6461,test,0.0,4.383436679840088
KING_RICHARD_III_BUCKINGHAM,0,,15519,test,0.1350438892640108,4.38289213180542
KING_RICHARD_III_PRINCE,0,,1711,test,1.0,4.381800651550293
KING_RICHARD_III_QUEEN_ELIZABETH,0,,11453,test,0.0,4.3829545974731445
KING_RICHARD_III_QUEEN_MARGARET,0,,9340,test,0.2317497103128621,4.383281707763672
KING_RICHARD_III_RICHMOND,0,,6035,test,0.0,4.3830180168151855
KING_RICHARD_III_SECOND_MURDERER,0,,2163,test,0.0,4.383874893188477
KING_RICHARD_III_TYRREL,0,,1458,test,0.0,4.383331298828125
KING_RICHARD_THE_SECOND_MOWBRAY,0,,5439,test,0.21141649048625794,4.382740020751953
KING_RICHARD_THE_SECOND_QUEEN,0,,4851,test,0.0,4.382422924041748
KING_RICHARD_THE_SECOND_ROSS,0,,756,test,0.0,4.381588459014893
KING_RICHARD_THE_SECOND_SCROOP,0,,1425,test,0.0,4.382600784301758
LOVE_S_LABOUR_S_LOST_LONGAVILLE,0,,2750,test,0.0,4.38296365737915
LOVE_S_LABOUR_S_LOST_MOTH,0,,5700,test,0.0,4.38368034362793
MEASURE_FOR_MEASURE_ELBOW,0,,2945,test,0.0,4.383748531341553
MUCH_ADO_ABOUT_NOTHING_ANT,0,,1834,test,0.0,4.382572174072266
MUCH_ADO_ABOUT_NOTHING_DOG,0,,7976,test,0.1375515818431912,4.383498668670654
MUCH_ADO_ABOUT_NOTHING_URS,0,,1766,test,0.0,4.383026123046875
SECOND_PART_OF_KING_HENRY_IV_DAVY,0,,1426,test,0.0,4.383768558502197
SECOND_PART_OF_KING_HENRY_IV_KING,0,,16509,test,0.0,4.383455276489258
SECOND_PART_OF_KING_HENRY_IV_LADY_PERCY,0,,1796,test,0.0,4.38320255279541
SECOND_PART_OF_KING_HENRY_IV_PISTOL,0,,3053,test,0.0,4.382680892944336
SECOND_PART_OF_KING_HENRY_IV_POINS,0,,2336,test,0.0,4.38351583480835
SECOND_PART_OF_KING_HENRY_IV_PRINCE_JOHN,0,,4431,test,0.0,4.382610321044922
SECOND_PART_OF_KING_HENRY_IV_WESTMORELAND,0,,4492,test,0.0,4.383609771728516
THE_COMEDY_OF_ERRORS_BALTHAZAR,0,,948,test,0.0,4.385068416595459
THE_COMEDY_OF_ERRORS_DROMIO_OF_SYRACUSE,0,,10241,test,0.0,4.383338928222656
THE_COMEDY_OF_ERRORS_DUKE,0,,3670,test,0.0,4.383125305175781
THE_COMEDY_OF_ERRORS_LUCIANA,0,,3998,test,0.0,4.383121013641357
THE_COMEDY_OF_ERRORS_SECOND_MERCHANT,0,,1354,test,0.0,4.382692337036133
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BASTARD,0,,1216,test,0.0,4.382783889770508
THE_FIRST_PART_OF_HENRY_THE_SIXTH_BURGUNDY,0,,1691,test,0.0,4.383520126342773
THE_FIRST_PART_OF_HENRY_THE_SIXTH_JOHN,0,,1845,test,0.0,4.382648468017578
THE_FIRST_PART_OF_HENRY_THE_SIXTH_REIGNIER,0,,2016,test,0.0,4.382558345794678
THE_FIRST_PART_OF_HENRY_THE_SIXTH_WARWICK,0,,3012,test,0.4329004329004329,4.3828959465026855
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_DOUG,0,,1652,test,0.0,4.383623123168945
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_GADS,0,,1872,test,0.8547008547008548,4.3841118812561035
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_HOST,0,,1835,test,0.0,4.383981704711914
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_HOT,0,,24055,test,0.042826552462526764,4.383267402648926
THE_FIRST_PART_OF_KING_HENRY_THE_FOURTH_MORT,0,,2396,test,0.0,4.382321834564209
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_HELEN,0,,783,test,0.0,4.3844780921936035
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_THERSITES,0,,12642,test,0.08375209380234507,4.383166313171387
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CHORUS,0,,8075,test,0.13568521031207598,4.382462501525879
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CONSTABLE,0,,4696,test,0.0,4.38316535949707
THE_LIFE_OF_KING_HENRY_THE_FIFTH_EXETER,0,,5384,test,0.2136752136752137,4.382624626159668
THE_LIFE_OF_KING_HENRY_THE_FIFTH_FRENCH_KING,0,,3887,test,0.0,4.382942199707031
THE_LIFE_OF_TIMON_OF_ATHENS_ALCIBIADES,0,,5460,test,0.42105263157894735,4.383227348327637
THE_LIFE_OF_TIMON_OF_ATHENS_APEMANTUS,0,,9448,test,0.11441647597254005,4.383437156677246
THE_LIFE_OF_TIMON_OF_ATHENS_FIRST_SENATOR,0,,3030,test,0.0,4.3827409744262695
THE_LIFE_OF_TIMON_OF_ATHENS_FLAMINIUS,0,,1185,test,0.0,4.3822550773620605
THE_LIFE_OF_TIMON_OF_ATHENS_LUCIUS,0,,1702,test,0.0,4.382676124572754
THE_LIFE_OF_TIMON_OF_ATHENS_SECOND_LORD,0,,1305,test,0.0,4.382828235626221
THE_LIFE_OF_TIMON_OF_ATHENS_SECOND_SENATOR,0,,2102,test,0.0,4.383106708526611
THE_MERCHANT_OF_VENICE_ARRAGON,0,,2501,test,0.0,4.383810997009277
THE_MERCHANT_OF_VENICE_DUKE_OF_VENICE,0,,2153,test,0.0,4.382455348968506
THE_MERCHANT_OF_VENICE_LAUNCELOT,0,,7465,test,0.0,4.383534908294678
THE_MERCHANT_OF_VENICE_SOLANIO,0,,2781,test,0.0,4.38295316696167
THE_MERRY_WIVES_OF_WINDSOR_PISTOL,0,,1766,test,0.9433962264150944,4.3832573890686035
THE_MERRY_WIVES_OF_WINDSOR_SIMPLE,0,,1469,test,0.0,4.383397579193115
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_HUME,0,,1171,test,0.0,4.3852219581604
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_KING_HENRY,0,,13655,test,0.0,4.382908821105957
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_SALISBURY,0,,3785,test,0.0,4.383092880249023
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_SIMPCOX,0,,829,test,0.0,4.381354808807373
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_YOUNG_CLIFFORD,0,,1778,test,0.0,4.382746696472168
THE_TAMING_OF_THE_SHREW_BIONDELLO,0,,4122,test,0.0,4.383767604827881
THE_TAMING_OF_THE_SHREW_GREMIO,0,,6996,test,0.0,4.383085250854492
THE_TAMING_OF_THE_SHREW_KATHERINA,0,,8903,test,0.12195121951219512,4.383785724639893
THE_TEMPEST_ARIEL,0,,943,test,0.0,4.382655143737793
THE_TEMPEST_MIRANDA,0,,4975,test,0.0,4.383121013641357
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_FATHER,0,,1002,test,0.0,4.381887912750244
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_KING_EDWARD,0,,13182,test,0.0,4.383466720581055
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_LEWIS,0,,2790,test,0.0,4.382380485534668
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_OXFORD,0,,1540,test,2.4096385542168677,4.382419586181641
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_QUEEN_ELIZABETH,0,,1400,test,0.0,4.383427143096924
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_SOMERSET,0,,1483,test,0.0,4.382560729980469
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_MENAS,0,,2365,test,1.2048192771084338,4.383060455322266
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_POMPEY,0,,4872,test,0.0,4.383060455322266
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_PROCULEIUS,0,,964,test,0.0,4.383634567260742
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,0,,1124,test,0.0,4.382436275482178
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOOTHSAYER,0,,942,test,0.0,4.38540506362915
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_VENTIDIUS,0,,1169,test,2.1739130434782608,4.382335662841797
THE_TRAGEDY_OF_CORIOLANUS_BRUTUS,0,,8529,test,0.0,4.383057117462158
THE_TRAGEDY_OF_CORIOLANUS_SECOND_SERVANT,0,,1108,test,0.0,4.384353160858154
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_HAM,0,,66824,test,0.030248033877797946,4.383173942565918
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_LAER,0,,7656,test,0.0,4.38319730758667
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_OPH,0,,6128,test,0.0,4.38331413269043
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_QUEEN,0,,5731,test,0.0,4.383009433746338
THE_TRAGEDY_OF_JULIUS_CAESAR_FLAVIUS,0,,956,test,0.0,4.382730484008789
THE_TRAGEDY_OF_JULIUS_CAESAR_OCTAVIUS,0,,1747,test,0.0,4.383643627166748
THE_TRAGEDY_OF_JULIUS_CAESAR_PORTIA,0,,3573,test,0.0,4.38332462310791
THE_TRAGEDY_OF_KING_LEAR_GLOU,0,,13783,test,0.0,4.383055210113525
THE_TRAGEDY_OF_KING_LEAR_OSW,0,,2665,test,0.0,4.382571220397949
THE_TRAGEDY_OF_MACBETH_BANQUO,0,,4277,test,0.0,4.382847785949707
THE_TRAGEDY_OF_MACBETH_DUNCAN,0,,2522,test,0.0,4.383391380310059
THE_TRAGEDY_OF_MACBETH_GENTLEWOMAN,0,,806,test,10.0,4.379598140716553
THE_TRAGEDY_OF_MACBETH_SERGEANT,0,,1235,test,0.0,4.382781028747559
THE_TRAGEDY_OF_MACBETH_SIWARD,0,,968,test,0.0,4.383330821990967
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_BIANCA,0,,1192,test,0.0,4.383601188659668
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_BRABANTIO,0,,5427,test,0.211864406779661,4.383974075317383
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_LODOVICO,0,,2742,test,0.49019607843137253,4.382827281951904
THE_TRAGEDY_OF_OTHELLO__MOOR_OF_VENICE_OTHELLO,0,,33942,test,0.09025270758122744,4.383279800415039
THE_TRAGEDY_OF_ROMEO_AND_JULIET_FRIAR,0,,14105,test,0.0,4.383204936981201
THE_TRAGEDY_OF_ROMEO_AND_JULIET_ROM,0,,25293,test,0.0,4.383066654205322
THE_TRAGEDY_OF_ROMEO_AND_JULIET_SERV,0,,1015,test,0.0,4.381558418273926
THE_TRAGEDY_OF_TITUS_ANDRONICUS_AARON,0,,15339,test,0.0,4.383062362670898
THE_TRAGEDY_OF_TITUS_ANDRONICUS_LAVINIA,0,,2306,test,0.0,4.384085655212402
