client_id,round_number,hierarchy,num_samples,set,accuracy,loss
0,0,,86,test,100.0,1.311806321144104
1,0,,33,test,0.0,1.6241614818572998
10,0,,5,test,0.0,1.47697114944458
100,0,,9,test,100.0,1.4075392484664917
101,0,,741,test,0.0,1.713992714881897
102,0,,614,test,0.0,1.9981046915054321
103,0,,26,test,0.0,1.9361563920974731
104,0,,8,test,0.0,1.6431317329406738
105,0,,39,test,0.0,1.4937052726745605
106,0,,10,test,0.0,1.5339043140411377
107,0,,9,test,0.0,1.8577508926391602
108,0,,97,test,90.0,1.3786818981170654
109,0,,24,test,66.66666666666666,1.4666529893875122
11,0,,43,test,0.0,2.1143906116485596
110,0,,186,test,0.0,2.0582916736602783
111,0,,96,test,0.0,1.8471508026123047
112,0,,36,test,75.0,1.4101104736328125
113,0,,26,test,0.0,2.086529493331909
114,0,,19,test,0.0,1.6714622974395752
115,0,,41,test,0.0,1.494457483291626
116,0,,796,test,98.75,1.3197039365768433
117,0,,450,test,0.0,1.8965121507644653
118,0,,1000,test,0.0,1.7553677558898926
119,0,,190,test,5.263157894736842,1.6365966796875
12,0,,40,test,0.0,1.692499041557312
120,0,,36,test,0.0,1.8241469860076904
121,0,,60,test,0.0,1.7001079320907593
122,0,,47,test,60.0,1.3949580192565918
123,0,,12,test,0.0,1.5574908256530762
124,0,,18,test,0.0,1.9112205505371094
125,0,,14,test,0.0,1.386373519897461
126,0,,29,test,66.66666666666666,1.5287102460861206
127,0,,30,test,0.0,1.8140478134155273
128,0,,203,test,38.095238095238095,1.605670690536499
129,0,,50,test,60.0,1.4651180505752563
13,0,,133,test,0.0,1.5986344814300537
130,0,,8,test,0.0,1.6596789360046387
131,0,,951,test,62.5,1.3486016988754272
132,0,,21,test,0.0,1.8669170141220093
133,0,,88,test,0.0,1.774665355682373
134,0,,64,test,0.0,1.7045139074325562
135,0,,24,test,0.0,2.0350000858306885
136,0,,76,test,0.0,1.9351556301116943
137,0,,1000,test,3.0,1.691012978553772
138,0,,12,test,0.0,2.0823590755462646
139,0,,365,test,0.0,1.931728720664978
14,0,,7,test,0.0,1.6859807968139648
140,0,,8,test,100.0,1.424788236618042
141,0,,31,test,0.0,1.8232996463775635
142,0,,6,test,0.0,1.8163411617279053
143,0,,15,test,0.0,1.7069969177246094
144,0,,1000,test,39.0,1.4522960186004639
145,0,,168,test,58.82352941176471,1.40106201171875
146,0,,15,test,0.0,2.0576748847961426
147,0,,15,test,0.0,1.9025113582611084
148,0,,20,test,0.0,1.941680908203125
149,0,,623,test,0.0,1.8989815711975098
15,0,,8,test,0.0,1.6071120500564575
150,0,,12,test,0.0,2.0871574878692627
151,0,,5,test,0.0,2.029665946960449
152,0,,7,test,0.0,1.8527147769927979
153,0,,18,test,0.0,1.8362278938293457
154,0,,19,test,0.0,1.7050366401672363
155,0,,5,test,100.0,1.2487268447875977
156,0,,133,test,0.0,1.7559922933578491
157,0,,291,test,0.0,1.9868720769882202
158,0,,5,test,0.0,1.8726310729980469
159,0,,15,test,0.0,1.809598445892334
16,0,,8,test,0.0,1.9532732963562012
160,0,,23,test,0.0,1.8499950170516968
161,0,,32,test,0.0,1.8154375553131104
162,0,,28,test,33.33333333333333,1.5578943490982056
163,0,,5,test,0.0,1.93512761592865
164,0,,23,test,100.0,1.4502636194229126
165,0,,109,test,0.0,1.675590991973877
166,0,,582,test,0.0,1.9461703300476074
167,0,,469,test,0.0,2.0997555255889893
168,0,,71,test,0.0,1.756394386291504
169,0,,8,test,0.0,1.869028091430664
17,0,,85,test,0.0,1.7732781171798706
170,0,,485,test,0.0,1.7432652711868286
171,0,,289,test,0.0,1.9647715091705322
172,0,,13,test,50.0,1.5957789421081543
173,0,,37,test,0.0,1.7965115308761597
174,0,,18,test,0.0,1.5202739238739014
175,0,,11,test,0.0,1.6230852603912354
176,0,,95,test,0.0,1.9059641361236572
177,0,,27,test,0.0,1.957114815711975
178,0,,7,test,0.0,2.0022504329681396
179,0,,135,test,0.0,2.139457941055298
18,0,,9,test,0.0,2.0384421348571777
180,0,,14,test,0.0,1.4108153581619263
181,0,,5,test,100.0,1.3381904363632202
182,0,,28,test,100.0,1.2552851438522339
183,0,,5,test,0.0,1.988624095916748
184,0,,7,test,0.0,1.9147491455078125
185,0,,15,test,0.0,1.4643287658691406
186,0,,47,test,0.0,1.9475910663604736
187,0,,5,test,0.0,1.8350905179977417
188,0,,5,test,0.0,1.6362662315368652
